Países,Quantidade (Kg),Valor (US$),Ano
Alemanha,1.164,6.560,2022
Angola,26.383,141.588,2022
Antigua e Barbuda,65,146,2022
Antilhas Holandesas,-,-,2022
Argentina,-,-,2022
Aruba,-,-,2022
Australia,-,-,2022
Bahamas,56,194,2022
Bangladesh,-,-,2022
Barbados,25,101,2022
Belgica,-,-,2022
Benin,-,-,2022
Bermudas,12,58,2022
Bolívia,22.307,70.416,2022
Bósnia-Herzegovina,-,-,2022
Bulgaria,-,-,2022
Cabo Verde,-,-,2022
Camarões,-,-,2022
Canada,62,347,2022
Catar,-,-,2022
"Cayman, Ilhas",-,-,2022
Chile,4,19,2022
China,8.619,35.079,2022
Chipre,382,931,2022
Cingapura,-,-,2022
Colombia,15.396,56.227,2022
"Coreia do Sul, Republica da",10,30,2022
Costa Rica,-,-,2022
Cuba,-,-,2022
Curaçao,3.487,15.494,2022
Dinamarca,-,-,2022
Dominica,594,1.461,2022
El Salvador,-,-,2022
Emirados Arabes Unidos,-,-,2022
Equador,135,500,2022
Espanha,-,-,2022
Estados Unidos,732.209,1.964.451,2022
Estonia,-,-,2022
Falkland (Malvinas),360,2.081,2022
Filipinas,77,389,2022
Filânldia,-,-,2022
França,772,4.308,2022
Gana,12.729,58.137,2022
Gibraltar,-,-,2022
Granada,1.122,3.050,2022
Grêcia,38,177,2022
Guatemala,284,1.527,2022
Guiana,5.553,26.216,2022
Guiné Equatorial,-,-,2022
Guiné-Bissau,-,-,2022
Haiti,4.842,9.417,2022
Honduras,-,-,2022
Hong Kong,1.175,5.328,2022
Hungria,-,-,2022
Ilha de Man,2,20,2022
Índia,-,-,2022
Iraque,-,-,2022
Irlanda,6,22,2022
Islândia,-,-,2022
Italia,503,3.702,2022
Japão,2.970,12.049,2022
Jordânia,-,-,2022
Letonia,-,-,2022
Líbano,1.350,4.810,2022
Libéria,1.105,3.367,2022
Luxemburgo,-,-,2022
Maldivas,3.221,10.680,2022
Malta,191,822,2022
"Marshall, Ilhas",1.154,3.438,2022
Montenegro,-,-,2022
Mexico,-,-,2022
Nicarágua,-,-,2022
Nigéria,6.705,32.586,2022
Noruega,483,9.852,2022
Nova Zelandia,-,-,2022
Paises Baixos (Holanda),707,6.038,2022
Panama,3.092,32.540,2022
Paraguai,48.160,183.187,2022
Peru,-,-,2022
Polonia,-,-,2022
Porto Rico,-,-,2022
Portugal,56,612,2022
Quenia,-,-,2022
Reino Unido,9.305,53.968,2022
Republica Dominicana,-,-,2022
Republica Tcheca,-,-,2022
Russia,990,5.280,2022
Serra Leoa,225,1.165,2022
Singapura,642,5.235,2022
Suecia,-,-,2022
Suiça,-,-,2022
Suriname,-,-,2022
Tailandia,17,107,2022
Taiwan (Formosa),901,4.141,2022
Trinidade e Tobago,-,-,2022
Turquia,2,17,2022
Uruguai,10.200,87.895,2022
Vanuatu,-,-,2022
Venezuela,-,-,2022
Vietnã,16,19,2022
Outros(1),-,-,2022
Total,929.865,2.865.784,2022
