Países,Quantidade (Kg),Valor (US$),Ano
Africa do Sul,-,-,2022
"Alemanha, República Democrática",559.012,1.213.303,2022
Angola,-,-,2022
Antígua e Barbuda,253,999,2022
Arabia Saudita,12.224,53.675,2022
Argélia,-,-,2022
Argentina,3.954.281,8.103.640,2022
Áustria,-,-,2022
Bahamas,3.035,10.694,2022
Bahrein,-,-,2022
Bangladesh,113,319,2022
Barbados,163,540,2022
Barein,316,1.159,2022
Bélgica,39.134,95.538,2022
Belize,117,248,2022
Bermudas,200,761,2022
Bolívia,132.736,67.397,2022
Bosnia,-,-,2022
Brasil,109,267,2022
Bulgária,-,-,2022
Burquina Faso,-,-,2022
Cabo Verde,-,-,2022
Camarões,50,149,2022
Camores,-,-,2022
Canadá,383.543,1.497.880,2022
Catar,28,75,2022
"Cayman, Ilhas",277,1.145,2022
Chile,31,125,2022
China,945,2.708,2022
Chipre,1.867,4.345,2022
Cingapura,-,-,2022
"Cocos (Keeling), Ilhas",32,55,2022
Colombia,13,32,2022
Congo,-,-,2022
Coreia do Norte,-,-,2022
Coreia do Sul,142,381,2022
Costa do Marfim,-,-,2022
Coveite,7.252,33.694,2022
Croácia,20,28,2022
Curaçao,-,-,2022
Dinamarca,26.792,50.928,2022
Djibuti,-,-,2022
Egito,-,-,2022
Emirados Arabes Unidos,116.384,401.362,2022
Eslovenia,-,-,2022
Espanha,3.504.580,6.022.297,2022
Estados Unidos,9.634.362,26.805.893,2022
Falkland (Ilhas Malvinas),60,61,2022
"Faroé, Ilhas",-,-,2022
Filipinas,137,455,2022
Finlândia,-,-,2022
França,200,892,2022
Gabão,20,53,2022
Gana,-,-,2022
Georgia,-,-,2022
Gibraltar,125,480,2022
Grêcia,2.536,6.949,2022
Guadalupe,-,-,2022
Guiana,3.902,12.934,2022
Guiana Francesa,-,-,2022
Guine Equatorial,-,-,2022
Honduras,-,-,2022
Hong Kong,11.130,81.767,2022
Ilha de Man,124,459,2022
Ilhas Virgens,-,-,2022
Índia,548,1.576,2022
Indonésia,40,103,2022
Irã,70,182,2022
Irlanda,1.412.302,3.175.487,2022
Islandia,-,-,2022
Itália,269,984,2022
Japão,377,1.270,2022
Jérsei,-,-,2022
Jordânia,40,116,2022
Letonia,20,84,2022
Líbano,-,-,2022
Libéria,10.296,36.932,2022
Líbia,-,-,2022
Lituania,30.168,65.259,2022
Luxemburgo,53,242,2022
Malasia,70,276,2022
Malta,3.766,13.755,2022
Marrocos,20,66,2022
"Marshall, Ilhas",14.389,50.525,2022
Martinica,-,-,2022
Mauricio,-,-,2022
Mauritânia,-,-,2022
Mexico,-,-,2022
Mônaco,-,-,2022
Mongólia,-,-,2022
Montenegro,-,-,2022
Nigéria,-,-,2022
Noruega,381.020,594.883,2022
Omã,100,311,2022
Países Baixos,18.874.963,36.345.317,2022
Panamá,10.006,34.309,2022
Paquistão,50,206,2022
Paraguai,-,-,2022
Polonia,20,50,2022
Porto Rico,-,-,2022
Portugal,1.943,7.713,2022
Reino Unido,-,-,2022
Republica Dominicana,-,-,2022
Romênia,13.194.790,28.569.636,2022
"Russia, Federação da",14.440,32.576,2022
Samoa Americana,8,18,2022
São Tomé e Principe,-,-,2022
São Vicente e Granadinas,53,163,2022
Serra Leoa,1,4,2022
Senegal,-,-,2022
Singapura,16.664,140.893,2022
Sri Lanka,-,-,2022
Suécia,13,45,2022
Suíça,2.604,32.752,2022
Suriname,-,-,2022
Tailândia,811,3.426,2022
Taiwan,40,123,2022
Togo,-,-,2022
Trindade e Tobago,-,-,2022
"Turcas e Caicos, ilhas",-,-,2022
Turquia,194,642,2022
Tuvalu,-,-,2022
Uruguai,194.634,336.671,2022
Vanuatu,80,244,2022
Venezuela,-,-,2022
Vietnã,60,260,2022
Provisão de Navios e Aeronaves,-,-,2022
Total,52.561.167,113.920.786,2022
